hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
0, 60.00000, 127.21, -31.3698, 126.524, -150.567, 128.477, 89.4319, 0, 0, 1.70892, -54.4433, 1.71818, -173.64, 1.69209, 66.3583, 0.0466633, 40.8446
0, 120.00000, 127.219, -31.3784, 126.524, -150.567, 128.499, 89.4313, 0, 0, 1.70879, -54.452, 1.71818, -173.64, 1.69179, 66.3577, 0.0471703, 40.8365
0, 180.00000, 127.228, -31.3862, 126.524, -150.567, 128.52, 89.4307, 0, 0, 1.70867, -54.4598, 1.71818, -173.64, 1.69152, 66.357, 0.0476268, 40.8298
0, 240.00000, 127.236, -31.3932, 126.524, -150.567, 128.538, 89.4302, 0, 0, 1.70857, -54.4668, 1.71818, -173.641, 1.69128, 66.3565, 0.0480378, 40.8244
0, 300.00000, 127.243, -31.3995, 126.524, -150.567, 128.554, 89.4297, 0, 0, 1.70848, -54.4732, 1.71818, -173.641, 1.69106, 66.356, 0.0484077, 40.8199
0, 360.00000, 127.249, -31.4052, 126.524, -150.567, 128.569, 89.4292, 0, 0, 1.70839, -54.4789, 1.71818, -173.641, 1.69086, 66.3555, 0.0487408, 40.8162
0, 420.00000, 127.254, -31.4103, 126.524, -150.567, 128.583, 89.4288, 0, 0, 1.70832, -54.484, 1.71818, -173.641, 1.69069, 66.3551, 0.0490406, 40.8132
0, 480.00000, 127.26, -31.415, 126.524, -150.567, 128.594, 89.4285, 0, 0, 1.70825, -54.4887, 1.71818, -173.641, 1.69053, 66.3547, 0.0493105, 40.8107
0, 540.00000, 127.264, -31.4191, 126.524, -150.567, 128.605, 89.4281, 0, 0, 1.70819, -54.4929, 1.71818, -173.641, 1.69039, 66.3544, 0.0495534, 40.8086
0, 600.00000, 127.268, -31.4229, 126.524, -150.567, 128.615, 89.4278, 0, 0, 1.70813, -54.4966, 1.71818, -173.641, 1.69026, 66.3541, 0.0497721, 40.8069
0, 660.00000, 127.272, -31.4262, 126.524, -150.567, 128.624, 89.4276, 0, 0, 1.70808, -54.5, 1.71818, -173.641, 1.69014, 66.3538, 0.0499689, 40.8054
0, 720.00000, 127.275, -31.4293, 126.524, -150.567, 128.632, 89.4273, 0, 0, 1.70804, -54.503, 1.71818, -173.641, 1.69004, 66.3535, 0.050146, 40.8042
0, 780.00000, 127.278, -31.432, 126.524, -150.567, 128.639, 89.4271, 0, 0, 1.708, -54.5058, 1.71818, -173.641, 1.68994, 66.3533, 0.0503055, 40.8032
0, 840.00000, 127.281, -31.4345, 126.524, -150.567, 128.645, 89.4269, 0, 0, 1.70797, -54.5083, 1.71818, -173.641, 1.68986, 66.3531, 0.050449, 40.8023
0, 900.00000, 127.283, -31.4367, 126.524, -150.567, 128.651, 89.4267, 0, 0, 1.70793, -54.5105, 1.71818, -173.641, 1.68978, 66.3529, 0.0505782, 40.8016
0, 960.00000, 127.285, -31.4387, 126.524, -150.567, 128.656, 89.4265, 0, 0, 1.7079, -54.5125, 1.71818, -173.641, 1.68971, 66.3527, 0.0506945, 40.801
0, 1020.00000, 127.287, -31.4405, 126.524, -150.567, 128.661, 89.4264, 0, 0, 1.70788, -54.5143, 1.71818, -173.641, 1.68965, 66.3525, 0.0507992, 40.8005
0, 1080.00000, 127.289, -31.4421, 126.524, -150.567, 128.665, 89.4263, 0, 0, 1.70785, -54.5159, 1.71818, -173.641, 1.6896, 66.3524, 0.0508934, 40.8
0, 1140.00000, 127.291, -31.4435, 126.524, -150.567, 128.669, 89.4261, 0, 0, 1.70783, -54.5174, 1.71818, -173.641, 1.68955, 66.3523, 0.0509781, 40.7997
0, 1200.00000, 127.292, -31.4448, 126.524, -150.567, 128.672, 89.426, 0, 0, 1.70781, -54.5187, 1.71818, -173.641, 1.6895, 66.3522, 0.0510545, 40.7993
0, 1260.00000, 127.293, -31.446, 126.524, -150.567, 128.675, 89.4259, 0, 0, 1.7078, -54.5199, 1.71818, -173.641, 1.68946, 66.3521, 0.0511231, 40.799
0, 1320.00000, 127.294, -31.4471, 126.524, -150.567, 128.678, 89.4258, 0, 0, 1.70778, -54.5209, 1.71818, -173.641, 1.68943, 66.352, 0.051185, 40.7988
0, 1380.00000, 127.296, -31.448, 126.524, -150.567, 128.68, 89.4258, 0, 0, 1.70777, -54.5219, 1.71818, -173.641, 1.68939, 66.3519, 0.0512406, 40.7986
0, 1440.00000, 127.296, -31.4489, 126.524, -150.567, 128.683, 89.4257, 0, 0, 1.70776, -54.5228, 1.71818, -173.641, 1.68936, 66.3518, 0.0512907, 40.7984
0, 1500.00000, 127.297, -31.4497, 126.524, -150.567, 128.685, 89.4256, 0, 0, 1.70774, -54.5235, 1.71818, -173.641, 1.68934, 66.3517, 0.0513357, 40.7982
0, 1560.00000, 127.298, -31.4503, 126.524, -150.567, 128.686, 89.4256, 0, 0, 1.70773, -54.5242, 1.71818, -173.641, 1.68931, 66.3517, 0.0513763, 40.7981
0, 1620.00000, 127.299, -31.451, 126.524, -150.567, 128.688, 89.4255, 0, 0, 1.70773, -54.5249, 1.71818, -173.641, 1.68929, 66.3516, 0.0514128, 40.798
0, 1680.00000, 127.299, -31.4515, 126.524, -150.567, 128.689, 89.4255, 0, 0, 1.70772, -54.5254, 1.71818, -173.641, 1.68927, 66.3516, 0.0514457, 40.7979
0, 1740.00000, 127.3, -31.452, 126.524, -150.567, 128.691, 89.4254, 0, 0, 1.70771, -54.5259, 1.71818, -173.641, 1.68926, 66.3515, 0.0514752, 40.7978
0, 1800.00000, 127.3, -31.4525, 126.524, -150.567, 128.692, 89.4254, 0, 0, 1.7077, -54.5264, 1.71818, -173.641, 1.68924, 66.3515, 0.0515019, 40.7977
0, 1860.00000, 127.301, -31.4529, 126.524, -150.567, 128.693, 89.4253, 0, 0, 1.7077, -54.5268, 1.71818, -173.641, 1.68923, 66.3514, 0.0515258, 40.7976
0, 1920.00000, 127.301, -31.4533, 126.524, -150.567, 128.694, 89.4253, 0, 0, 1.70769, -54.5272, 1.71818, -173.641, 1.68921, 66.3514, 0.0515474, 40.7976
0, 1980.00000, 127.302, -31.4536, 126.524, -150.567, 128.695, 89.4253, 0, 0, 1.70769, -54.5275, 1.71818, -173.641, 1.6892, 66.3514, 0.0515668, 40.7975
0, 2040.00000, 127.302, -31.4539, 126.524, -150.567, 128.696, 89.4253, 0, 0, 1.70768, -54.5278, 1.71818, -173.641, 1.68919, 66.3514, 0.0515842, 40.7975
0, 2100.00000, 127.302, -31.4542, 126.524, -150.567, 128.696, 89.4252, 0, 0, 1.70768, -54.5281, 1.71818, -173.641, 1.68918, 66.3513, 0.0515999, 40.7974
0, 2160.00000, 127.302, -31.4544, 126.524, -150.567, 128.697, 89.4252, 0, 0, 1.70768, -54.5283, 1.71818, -173.641, 1.68917, 66.3513, 0.0516141, 40.7974
0, 2220.00000, 127.303, -31.4546, 126.524, -150.567, 128.697, 89.4252, 0, 0, 1.70767, -54.5286, 1.71818, -173.641, 1.68917, 66.3513, 0.0516268, 40.7973
0, 2280.00000, 127.303, -31.4548, 126.524, -150.567, 128.698, 89.4252, 0, 0, 1.70767, -54.5288, 1.71818, -173.641, 1.68916, 66.3513, 0.0516383, 40.7973
0, 2340.00000, 127.303, -31.455, 126.524, -150.567, 128.698, 89.4252, 0, 0, 1.70767, -54.5289, 1.71818, -173.641, 1.68915, 66.3513, 0.0516486, 40.7973
0, 2400.00000, 127.303, -31.4552, 126.524, -150.567, 128.699, 89.4252, 0, 0, 1.70766, -54.5291, 1.71818, -173.641, 1.68915, 66.3512, 0.0516579, 40.7972
0, 2460.00000, 127.303, -31.4553, 126.524, -150.567, 128.699, 89.4251, 0, 0, 1.70766, -54.5292, 1.71818, -173.641, 1.68914, 66.3512, 0.0516662, 40.7972
0, 2520.00000, 127.304, -31.4555, 126.524, -150.567, 128.7, 89.4251, 0, 0, 1.70766, -54.5294, 1.71818, -173.641, 1.68914, 66.3512, 0.0516737, 40.7972
0, 2580.00000, 127.304, -31.4556, 126.524, -150.567, 128.7, 89.4251, 0, 0, 1.70766, -54.5295, 1.71818, -173.641, 1.68913, 66.3512, 0.0516805, 40.7972
0, 2640.00000, 127.304, -31.4557, 126.524, -150.567, 128.7, 89.4251, 0, 0, 1.70766, -54.5296, 1.71818, -173.641, 1.68913, 66.3512, 0.0516866, 40.7972
0, 2700.00000, 127.304, -31.4558, 126.524, -150.567, 128.7, 89.4251, 0, 0, 1.70766, -54.5297, 1.71818, -173.641, 1.68913, 66.3512, 0.0516921, 40.7972
0, 2760.00000, 127.304, -31.4559, 126.524, -150.567, 128.701, 89.4251, 0, 0, 1.70766, -54.5298, 1.71818, -173.641, 1.68912, 66.3512, 0.051697, 40.7971
0, 2820.00000, 127.304, -31.4559, 126.524, -150.567, 128.701, 89.4251, 0, 0, 1.70765, -54.5298, 1.71818, -173.641, 1.68912, 66.3512, 0.0517015, 40.7971
0, 2880.00000, 127.304, -31.456, 126.524, -150.567, 128.701, 89.4251, 0, 0, 1.70765, -54.5299, 1.71818, -173.641, 1.68912, 66.3512, 0.0517054, 40.7971
0, 2940.00000, 127.304, -31.4561, 126.524, -150.567, 128.701, 89.4251, 0, 0, 1.70765, -54.53, 1.71818, -173.641, 1.68912, 66.3512, 0.051709, 40.7971
